Cell_subtype,PDCD1,CTLA4,LAG3,TIGIT,HAVCR2,TOX
Cytotoxic CD8+ T,0.0383586083853702,0.008028545941123996,0.2869461790068391,0.3734760630389533,0.0695807314897413,0.08831400535236396
Exhausted CD8+ T,0.2540810953133228,0.17298578199052134,0.7627698788836229,0.6795681937862033,0.28620326487625064,0.19957872564507637
Treg,0.26229190863337204,0.6192411924119241,0.22861014324428958,1.970189701897019,0.10472319008904375,0.19608981804103756
