Sample_Origin,Alveolar Mac,mo-Mac,Monocytes
nLung,73.2425623800384,4.846449136276392,13.909548944337812
tLung,15.055719808960655,53.1953604730498,7.266317944052764
mBrain,2.351069471451299,69.68357786812798,4.4369807318366625
