Sample_Origin,Cytotoxic CD8+ T,Exhausted CD8+ T,Treg,Alveolar Mac,mo-Mac
nLung,28.379513014273723,2.476910159529807,2.7427931710047577,73.2425623800384,4.846449136276392
tLung,2.9396403790196226,13.138849511303437,11.997314034171454,15.055719808960655,53.1953604730498
mBrain,1.2451696006869901,15.586088449978533,14.942035208243881,2.351069471451299,69.68357786812798
