Sample_Origin,Cytotoxic CD8+ T,Exhausted CD8+ T,Treg
PE,0.9530201342281879,1.6963470319634704,1.6724470134874758
mBrain,0.5,3.7005494505494507,2.8563218390804597
mLN,0.9959016393442623,4.109756097560975,5.38388625592417
nLN,1.0756756756756756,2.5595238095238093,3.282321899736148
nLung,0.8358647721705047,1.2994350282485876,2.943877551020408
tL/B,0.9310344827586207,2.4836272040302267,3.6705202312138727
tLung,0.7894736842105263,1.8087400681044268,3.3420398009950247
