Sample_Origin,PDCD1,CTLA4,LAG3,TIGIT,HAVCR2,TOX
nLung,0.23163841807909605,0.03954802259887006,0.6045197740112994,0.24293785310734464,0.03954802259887006,0.14124293785310735
tLung,0.1963677639046538,0.17196367763904655,0.5715096481271282,0.46311010215664017,0.21623155505107833,0.18955732122587968
mBrain,0.45879120879120877,0.1565934065934066,1.2087912087912087,0.9642857142857143,0.6510989010989011,0.260989010989011
